Ai,C1,C2,C3,C4,C5
A1,2.331,110.1666667,12621,39.16666667,505947.5
A2,2.113,100.8333333,11927.66667,42,508156.1667
A3,2.2874,63.6,11054.4,40.4,441880.4
A4,2.113,160.3333333,10571.33333,31,317330.6667
A5,2.3855,148.875,11514.5,37.125,433084.375
A6,2.549,83.6,11250.6,30.6,342898.2
A7,6.776,46,12436,34,422824
A8,6.776,59,11631.66667,33.33333333,391643.3333
A9,7.1225,118.1,12155,35.9,430679.1
A10,6.776,36.33333333,11330.66667,43.33333333,447895.6667
A11,7.161,137.5,11019,43.16666667,469719.5
A12,7.161,131.6666667,10411.66667,37.33333333,408444
A13,5.319368421,83,11875.84211,33.68421053,405245.9474
A14,5.67,95.18181818,12028.63636,40.81818182,446537
A15,5.297588235,92.05882353,11457.88235,35.64705882,412380.6471
A16,4.148117647,113.1764706,10977.41176,36.64705882,384581.5294
A17,5.430181818,72.36363636,12059.72727,35,374623.4545
A18,4.195647059,90.47058824,12198.05882,38.23529412,472817.3529
A19,6.355457143,100.0285714,11657.14286,37.85714286,443098.7143
A20,5.360727273,83.40909091,12119.95455,36.72727273,449593.0909
A21,5.637588235,83.23529412,12208.11765,36.64705882,448442.3235
A22,6.271428571,93.4047619,11431,35.69047619,407604.3095
A23,5.638966667,84.73333333,12037.7,36.33333333,437203.4667
A24,5.678935484,100.0322581,11783.96774,36.70967742,425554.2903
A25,3.843666667,68.33333333,11367.66667,39.5,443057.5
A26,3.915571429,107.8571429,13126.14286,40.14285714,533388
A27,3.829285714,77.71428571,11469.85714,39.42857143,467844.7143
A28,4.045,86,13473,38.75,522261
A29,3.944333333,100,11178,33.16666667,372827.6667
Type,-1,-1,1,-1,1
